date,actions_lock_total,actions_give_total,actions_exit_total,actions_free_total,actions_open_total,actions_bite_total,actions_draw_total,actions_join_total,actions_shut_total,actions_wipe_total
2019-04-14,90,18,53,54,26,0,101,89,4,53
2019-04-15,145,21,107,106,30,2,127,149,18,111
2019-04-16,135,57,118,111,30,0,142,140,26,115
2019-07-27,6815,6460,728,719,6475,7,7135,6818,545,904
2019-07-28,5710,5361,892,872,5384,17,6057,5713,618,1020
2019-07-29,4000,3750,539,534,3745,73,4289,4000,398,678
2019-09-19,342,202,124,121,209,1,408,344,42,111
2019-10-09,4248,3884,499,499,3951,1,4561,4248,353,562
2019-10-29,208,62,112,111,65,1,270,208,30,100
2019-11-18,1000,999,462,269,839,19,1177,1005,290,292
2019-12-07,32,57,78,39,12,0,64,32,46,29
2019-12-27,29,15,32,28,14,1,31,29,16,20
2020-01-16,26,24,43,30,12,0,48,26,22,18
2020-02-05,54,31,44,28,11,0,78,54,23,18
2020-02-25,34,12,27,24,16,0,40,34,8,26
2019-03-29,127,57,62,62,40,0,135,125,20,62
2019-03-30,111,35,79,76,31,0,107,113,6,87
2019-03-31,72,23,42,39,18,0,74,73,3,41
2019-06-19,83,14,56,58,17,0,99,82,12,51
2019-06-20,128,22,57,57,22,0,146,128,8,58
2019-06-21,304,26,169,168,29,0,373,304,15,179
2019-05-22,156,32,94,86,26,3,162,160,11,73
2019-05-23,155,19,110,105,21,3,170,155,12,108
2019-05-24,152,20,88,85,27,1,175,153,18,98
2019-09-20,619,501,123,123,529,1,676,619,60,118
2019-10-10,3105,2764,407,404,2808,1,3381,3104,290,492
2019-10-30,189,35,94,90,36,4,210,189,19,112
2019-11-19,242,233,390,241,75,16,342,246,240,285
2019-12-08,35,26,51,34,14,0,62,35,29,32
2019-12-28,31,28,37,29,20,0,42,31,24,26
2020-01-17,85,35,61,45,34,0,123,85,21,40
2020-02-06,55,27,49,34,14,0,89,55,26,33
2020-02-26,95,19,58,54,21,3,66,95,7,59
2019-02-09,103,24,63,65,32,0,130,104,10,56
2019-02-10,85,24,46,46,21,1,91,86,4,43
2019-02-11,123,24,49,51,28,0,166,126,7,52
2019-07-05,101,15,89,87,20,1,101,102,5,69
2019-07-06,102,19,55,55,18,0,101,102,4,52
2019-07-07,161,24,79,79,26,0,183,161,16,81
2019-08-28,223,57,220,183,33,43,153,247,34,231
2019-08-29,318,58,229,210,48,17,152,328,34,276
2019-08-30,131,39,87,81,24,4,91,135,15,102
2019-09-21,1031,901,122,122,957,0,1178,1031,69,152
2019-10-11,2237,1964,344,340,1985,2,2475,2239,197,420
2019-10-31,182,36,123,120,48,4,215,184,25,105
2019-11-20,183,141,251,189,64,1,219,184,139,203
2019-12-09,33,34,70,44,12,23,51,35,34,36
2019-12-29,42,27,33,23,12,0,55,42,18,19
2020-01-18,38,29,51,36,15,0,67,38,28,22
2020-02-07,65,45,53,37,27,0,111,65,26,22
2020-02-27,67,17,54,49,15,1,62,67,11,58
2019-04-01,97,23,55,54,24,0,119,98,9,55
2019-04-02,301,60,151,149,59,0,417,300,28,169
2019-04-03,355,32,214,203,37,7,427,358,20,216
2019-07-14,598,109,488,359,41,84,269,626,26,423
2019-07-15,654,174,444,371,42,91,360,679,39,412
2019-07-16,531,43,370,300,28,57,246,558,25,358
2019-07-17,346,44,196,188,25,8,181,348,21,201
2019-05-25,92,13,70,70,19,0,108,92,5,78
2019-05-26,163,20,98,96,23,3,207,165,11,95
2019-05-27,209,37,129,130,35,0,250,208,21,107
2019-09-22,1435,1269,171,170,1332,1,1548,1436,95,189
2019-10-12,1661,1476,255,253,1494,2,1853,1663,153,296
2019-11-01,119,37,76,74,38,3,142,119,23,73
2019-11-21,314,95,323,265,55,28,204,333,98,289
2019-12-10,46,27,60,38,11,2,59,48,28,37
2019-12-30,44,21,32,26,12,0,51,44,13,20
2020-01-19,46,26,42,29,17,2,72,46,17,28
2020-02-08,46,31,51,37,16,0,71,46,25,27
2019-04-04,206,31,103,101,36,0,227,207,12,104
2019-04-05,211,57,53,51,63,0,230,211,9,61
2019-04-06,151,38,62,59,39,2,174,152,10,59
2019-07-02,218,22,174,162,19,5,212,224,9,178
2019-07-03,151,23,65,65,30,0,177,151,4,71
2019-07-04,147,24,138,131,22,3,137,147,5,130
2019-07-08,123,41,84,84,22,0,164,122,14,97
2019-07-09,146,77,141,138,40,3,190,146,18,132
2019-07-10,214,64,195,171,34,6,207,219,9,161
2019-09-23,681,565,159,155,577,1,728,682,76,171
2019-10-13,1665,1456,256,254,1471,1,1895,1665,171,314
2019-11-02,86,22,61,56,26,3,109,86,18,55
2019-11-22,649,63,553,382,45,160,286,682,62,443
2019-12-11,51,35,65,37,11,2,64,52,34,41
2019-12-31,28,19,28,21,11,0,35,28,18,30
2020-01-20,35,26,41,27,12,0,52,36,20,22
2020-02-09,53,30,57,47,23,2,76,53,31,44
2019-02-16,98,26,31,33,26,0,94,97,4,25
2019-02-17,204,25,68,61,35,3,226,206,6,48
2019-02-18,301,47,141,134,57,3,375,302,9,99
2019-05-06,113,21,119,120,28,0,133,113,18,102
2019-05-07,102,15,103,103,20,4,153,102,8,118
2019-05-08,92,20,72,75,16,1,107,92,15,70
2019-08-02,2777,2567,324,320,2560,7,2958,2778,234,414
2019-08-03,3369,3115,360,354,3125,7,3564,3372,258,496
2019-08-04,3030,2803,441,428,2814,13,3233,3033,284,479
2019-08-05,2970,2686,366,358,2685,9,3197,2972,211,444
2019-09-24,593,102,732,329,113,115,411,637,41,353
2019-10-14,1711,1544,247,245,1555,344,1923,1715,144,283
2019-11-03,119,27,79,74,32,3,140,121,14,75
2019-11-23,148,52,127,111,28,4,126,148,50,110
2019-12-12,51,22,45,32,13,0,56,51,23,35
2020-01-01,19,13,24,19,8,0,30,19,8,21
2020-01-21,20,7,27,20,7,1,32,21,13,12
2020-02-10,42,24,61,56,15,3,66,42,21,39
2019-02-12,150,45,55,51,37,2,157,147,10,53
2019-02-13,157,39,61,60,42,1,185,158,6,48
2019-02-14,104,37,47,44,34,0,114,106,5,44
2019-02-15,80,21,54,50,24,4,90,80,5,42
2019-05-12,183,19,132,126,22,4,214,186,19,146
2019-05-13,187,20,124,126,28,0,228,187,17,120
2019-05-14,276,27,161,159,32,2,341,277,22,158
2019-08-06,8911,8585,586,576,8650,11,9247,8916,425,754
2019-08-07,5487,5135,601,595,5137,9,5832,5492,444,768
2019-08-08,2602,2382,386,377,2383,12,2809,2607,235,455
2019-09-25,340,78,133,128,74,1,231,340,24,159
2019-10-15,1537,1288,339,295,1310,556,1656,1540,165,352
2019-11-04,131,38,72,72,37,0,166,132,20,64
